review_id,package_id,selection_type,stratum,document_id,title,anio,dimension_id,dimension,page,quote,source_path,source_sha256,interpellation_evidence,review_status,literal_verified,relevance,recommended_action,reviewer_note,reviewer,reviewed_at
gobernanza_multinivel:dimension:P1:avances_implementacion:1,gobernanza_multinivel,dimension_coverage,"{""period_id"": ""P1"", ""dimension"": ""avances_implementacion""}",https://hdl.handle.net/11362/42057,"Identificación de instrumentos económicos, financieros, regulatorios y fiscales implementados por el Gobierno del Perú para un enfoque integrado del cambio climático",2017,1980,avances_implementacion,42,"Al cierre de 2014, se contaba con 73 Programas Presupuestales con diseños de intervención definidos bajo objetivos de política nacional prioritarios. Algunos PP involucran su implementación a nivel de los gobiernos sub nacionales y el 62,1% del presupuesto total programable cuenta con un enfoque de resultados para el 2014 (MEF).",fase2/corpus/resultados/json/doc_42057.json,c68b1567406b8c21c51d200a02712179490291d3ecbeb49c857bf1780bb0acf6,,pending,,,,,,
gobernanza_multinivel:dimension:P1:brechas_implementacion:1,gobernanza_multinivel,dimension_coverage,"{""period_id"": ""P1"", ""dimension"": ""brechas_implementacion""}",https://hdl.handle.net/11362/40159,Horizontes 2030: la igualdad en el centro del desarrollo sostenible,2016,1524,brechas_implementacion,114,"Las brechas económicas, sociales, territoriales y ambientales dificultan el avance en virtud de un crecimiento económico sostenible y limitan la posibilidad de transitar hacia economías y sociedades más inclusivas.",fase2/corpus/resultados/json/doc_40159.json,0877f929674570986470ca03b25d4ec4749402674999cb1b238115b11f5b154b,,pending,,,,,,
gobernanza_multinivel:dimension:P1:desafios:1,gobernanza_multinivel,dimension_coverage,"{""period_id"": ""P1"", ""dimension"": ""desafios""}",https://hdl.handle.net/11362/39842,Adaptación al cambio climático en América Latina y el Caribe,2015,1416,desafios,51,Los límites para la adaptación se entienden como el punto en el que los objetivos o necesidades de un individuo o un sistema no se pueden proteger de riesgos intolerables mediante las acciones de adaptación.,fase2/corpus/resultados/json/doc_39842.json,811568e05f40e7ba368034982232f5278bb498bfcb03939f5911db9671ced002,,pending,,,,,,
gobernanza_multinivel:dimension:P1:propuestas_politica:1,gobernanza_multinivel,dimension_coverage,"{""period_id"": ""P1"", ""dimension"": ""propuestas_politica""}",https://hdl.handle.net/11362/43415,Segundo informe anual sobre el progreso y los desafíos regionales de la Agenda 2030 para el Desarrollo Sostenible en América Latina y el Caribe,2018,2330,propuestas_politica,41,"La planificación urbana, las políticas de suelo urbano, y el cambio de los incentivos y las normas, deberían reducir la segregación urbana y el costo económico y ambiental de los servicios.",fase2/corpus/resultados/json/doc_43415.json,dfac379250564722559600de2413966166880bb962cf70531fad47f9ab942fb3,,pending,,,,,,
gobernanza_multinivel:dimension:P2:avances_implementacion:1,gobernanza_multinivel,dimension_coverage,"{""period_id"": ""P2"", ""dimension"": ""avances_implementacion""}",https://hdl.handle.net/11362/48541,Enfoques y prácticas de gobernanza en América Latina y el Caribe para el cambio transformativo a favor de la biodiversidad,2022,6072,avances_implementacion,35,"Esto deriva en procesos participativos de toma de decisiones, en su implementación, generación de conocimientos (muchas veces co- construidos) y en el monitoreo del estado de la biodiversidad.",fase2/corpus/resultados/json/doc_48541.json,145bbc52bf78ce8c31ca9310cd620ba906c36f965a95edf8292488734139e437,,pending,,,,,,
gobernanza_multinivel:dimension:P2:brechas_implementacion:1,gobernanza_multinivel,dimension_coverage,"{""period_id"": ""P2"", ""dimension"": ""brechas_implementacion""}",https://hdl.handle.net/11362/47720,Cómo financiar el desarrollo sostenible: recuperación de los efectos del COVID-19 en América Latina y el Caribe,2022,5348,brechas_implementacion,10,"Si bien en algunos casos la operatividad de los derechos de acceso se fue recuperando lentamente hacia el último trimestre de 2021 con un levantamiento progresivo de las restricciones sanitarias, los efectos de estas medidas se hacen sentir más allá de su vigencia formal, sumándose a las brechas que ya existían antes de la pandemia.",fase2/corpus/resultados/json/doc_47720.json,bac14714f49713c81a94bda9b0e757d6142a0bddfbef55f1304790c06c3f7cb5,,pending,,,,,,
gobernanza_multinivel:dimension:P2:desafios:1,gobernanza_multinivel,dimension_coverage,"{""period_id"": ""P2"", ""dimension"": ""desafios""}",https://hdl.handle.net/11362/45023,"Índices climáticos, políticas de aseguramiento agropecuario y gestión integral de riesgos en Centroamérica y la República Dominicana: experiencias internacionales y avances regionales",2019,3383,desafios,39,La discrepancia entre los daños en las cosechas en los productores y los pagos registrados por las compañías aseguradoras se conoce como riesgo de base y uno de los objetivos de un programa de aseguramiento agropecuario debería ser minimizarlo.,fase2/corpus/resultados/json/doc_45023.json,6b63b794cefe1706f2ff3de712f633c7a2fdf113fcf89aafe5bc549d83dca9a8,,pending,,,,,,
gobernanza_multinivel:dimension:P2:propuestas_politica:1,gobernanza_multinivel,dimension_coverage,"{""period_id"": ""P2"", ""dimension"": ""propuestas_politica""}",https://hdl.handle.net/11362/44472,"Mainstreaming disaster risk management strategies in development instruments (II): policy briefs for Barbados, Guyana, Saint Lucia, Suriname, and Trinidad and Tobago",2019,2846,propuestas_politica,52,"However, the Medium-Term Strategy and Action Plan: 2012-2016 presents some broad-based actions intended to mitigate disaster risk, promote resilience and remedy social inequities, including: • Expansion and retrofitting of public infrastructure and buildings to meet the more demanding requirements created by global climate change.",fase2/corpus/resultados/json/doc_44472.json,6e7441bcbaa9721c97d7d43061bd935786c3c814a60c825f9f571da494277295,,pending,,,,,,
gobernanza_multinivel:dimension:P3:avances_implementacion:1,gobernanza_multinivel,dimension_coverage,"{""period_id"": ""P3"", ""dimension"": ""avances_implementacion""}",https://hdl.handle.net/11362/68877,Legislación marco de cambio climático en América Latina y el Caribe. Boletín legislativo,2024,6824,avances_implementacion,25,"Asimismo, institucionaliza el Gabinete Nacional de Cambio Climático, como el órgano de gobernanza nacional para la articulación e implementación de todas las políticas de adaptación y mitigación al cambio climático.",fase2/corpus/resultados/json/doc_68877.json,5aaa4aebac3a77dffd02708b8ebe77a56ff5d4172fc6ea35dd3359a5b18354d9,,pending,,,,,,
gobernanza_multinivel:dimension:P3:brechas_implementacion:1,gobernanza_multinivel,dimension_coverage,"{""period_id"": ""P3"", ""dimension"": ""brechas_implementacion""}",https://hdl.handle.net/11362/80727,América Latina y el Caribe ante las trampas del desarrollo: transformaciones indispensables y cómo gestionarlas,2024,502,brechas_implementacion,266,"los bancos de desarrollo nacionales enfrentan grandes restricciones de capacidad técnica, lo que incluye la falta de capacidad para identificar y clasificar proyectos relevantes, que se agudiza en el caso de proyectos verdes, la dificultad para evaluar los riesgos de tipo financiero y tecnológico de los proyectos climáticos, y la falta de conocimiento y experiencia en las finanzas climáticas.",fase2/pilot/doc14_trampas_desarrollo.json,688d49ea0a654acd154f845e3326bd35946952a92b9484d32784cd549adc8947,,pending,,,,,,
