documento_id,titulo,campo,valor_original,candidatos,requiere_revision,decision,observacion,estado
https://hdl.handle.net/11362/3955,"Efectos del cambio climático en la costa de América Latina y el Caribe: dinámicas, tendencias y variabilidad climática",autoria,"Instituto de Hidráulica Ambiental de la Universidad de Cantabria (dirección: Iñigo Losada Rodríguez; coordinación: Fernando J. Méndez Incera; equipo de investigación encabezado por Borja González Reguero), en colaboración con la División de Desarrollo Sostenible y Asentamientos Humanos de la CEPAL (Carlos de Miguel, José Javier Gómez, Karina Martínez y Mauricio Pereira)",Instituto de Hidráulica Ambiental de la Universidad de Cantabria (dirección: Iñigo Losada Rodríguez | coordinación: Fernando J. Méndez Incera | equipo de investigación encabezado por Borja González Reguero) | en colaboración con la División de Desarrollo Sostenible | Asentamientos Humanos de la CEPAL (Carlos de Miguel | José Javier Gómez | Karina Martínez | Mauricio Pereira),True,,,pendiente
https://hdl.handle.net/11362/3955,"Efectos del cambio climático en la costa de América Latina y el Caribe: dinámicas, tendencias y variabilidad climática",tipo_documento,"Documento de proyecto o estudio técnico (informe técnico regional, primero de una serie de cuatro del proyecto C3A)",estudio_tecnico:Estudio técnico,False,,,pendiente
https://hdl.handle.net/11362/3955,"Efectos del cambio climático en la costa de América Latina y el Caribe: dinámicas, tendencias y variabilidad climática",ambito_aplicacion,"Costa de América Latina y el Caribe en su conjunto, de aproximadamente 72.182 km, subdividida en cuatro zonas geográficas: Norteamérica (México), Centroamérica, Sudamérica e Islas del Caribe (p.28), con resultados calculados en 1.132 puntos costeros en profundidades indefinidas y comparaciones puntuales en localizaciones específicas de casi todos los países ribereños (p.60, cuadro 1.10)",regional:Regional | subregional:Subregional,True,,,pendiente
https://hdl.handle.net/11362/3955,"Efectos del cambio climático en la costa de América Latina y el Caribe: dinámicas, tendencias y variabilidad climática",paises,"Costa de América Latina y el Caribe en su conjunto, de aproximadamente 72.182 km, subdividida en cuatro zonas geográficas: Norteamérica (México), Centroamérica, Sudamérica e Islas del Caribe (p.28), con resultados calculados en 1.132 puntos costeros en profundidades indefinidas y comparaciones puntuales en localizaciones específicas de casi todos los países ribereños (p.60, cuadro 1.10)",mexico:México,False,,,pendiente
https://hdl.handle.net/11362/3955,"Efectos del cambio climático en la costa de América Latina y el Caribe: dinámicas, tendencias y variabilidad climática",subregiones,"Costa de América Latina y el Caribe en su conjunto, de aproximadamente 72.182 km, subdividida en cuatro zonas geográficas: Norteamérica (México), Centroamérica, Sudamérica e Islas del Caribe (p.28), con resultados calculados en 1.132 puntos costeros en profundidades indefinidas y comparaciones puntuales en localizaciones específicas de casi todos los países ribereños (p.60, cuadro 1.10)",alc:América Latina y el Caribe | centroamerica:Centroamérica | caribe:Caribe,False,,,pendiente
https://hdl.handle.net/11362/3955,"Efectos del cambio climático en la costa de América Latina y el Caribe: dinámicas, tendencias y variabilidad climática",sectores,"Dinámica oceanográfica y costera (nivel del mar, oleaje, mareas, temperatura, salinidad, viento, huracanes) como insumo físico para la ingeniería de costas y puertos, la planificación de infraestructura portuaria y turística, y la gestión integral del riesgo climático costero (p.26-27); no aborda directamente sectores productivos, energéticos ni sociales",transporte:Transporte | ecosistemas:Ecosistemas y biodiversidad,False,,,pendiente
https://hdl.handle.net/11362/3955,"Efectos del cambio climático en la costa de América Latina y el Caribe: dinámicas, tendencias y variabilidad climática",organizaciones,"España, a través de la Oficina Española de Cambio Climático (Ministerio de Medio Ambiente y Medio Rural y Marino) y el Ministerio de Asuntos Exteriores y de Cooperación, como financiador y origen de la metodología UC/OECC de evaluación de impactos costeros que se aplica en el estudio (p.27); Estados Unidos, como origen de las bases de datos de reanálisis atmosférico NCEP/NCAR, la base de datos de huracanes HURDAT y la red de boyas NDBC de la NOAA (p.40, p.223); el IPCC (informes TAR y AR4) como fuente de los escenarios de emisión y proyecciones de nivel del mar contrastados en el documento (p.43-45)",ipcc:IPCC,False,,,pendiente
https://hdl.handle.net/11362/39840,Ocho tesis sobre el cambio climático y el desarrollo sostenible en América Latina,autoria,"Luis Miguel Galindo, Joseluis Samaniego, José Eduardo Alatorre, Jimy Ferrer Carbonell, Orlando Reyes, Luis Sánchez",Luis Miguel Galindo | Joseluis Samaniego | José Eduardo Alatorre | Jimy Ferrer Carbonell | Orlando Reyes | Luis Sánchez,False,,,pendiente
https://hdl.handle.net/11362/39840,Ocho tesis sobre el cambio climático y el desarrollo sostenible en América Latina,tipo_documento,Documento de Proyecto,estudio_tecnico:Estudio técnico,False,,,pendiente
https://hdl.handle.net/11362/39840,Ocho tesis sobre el cambio climático y el desarrollo sostenible en América Latina,ambito_aplicacion,"América Latina y el Caribe en conjunto, con desagregación por país en cuadros y gráficos: encuestas de gasto de los hogares de Argentina, Brasil, Chile, Colombia, Costa Rica, El Salvador, México, Nicaragua y Uruguay (Gráficos 8-12), y datos de emisiones/tasa de motorización de Argentina, Bolivia, Brasil, Chile, Colombia, Cuba, Ecuador, El Salvador, Guatemala, Haití, Honduras, Jamaica, México, Nicaragua, Panamá, Paraguay, Perú, República Dominicana, Trinidad y Tobago, Uruguay y Venezuela.",regional:Regional | subregional:Subregional | nacional:Nacional,True,,,pendiente
